dept_id,renewal_date
FAC_4357,2026-03-02
FAC_9366,2026-02-08
FAC_8404,2026-04-15
FAC_6840,2025-11-19
FAC_5100,2026-02-08
FAC_8914,2026-02-01
FAC_3574,2026-03-27
FAC_4271,2025-11-08
FAC_1678,2026-03-28
FAC_9232,2026-02-02
FAC_3678,2026-02-21
FAC_1787,2026-04-23
FAC_3673,2026-04-10
FAC_9466,2026-04-28
FAC_3860,2025-04-28
FAC_7312,2025-12-27
FAC_4924,2025-12-16
FAC_1819,2025-01-05
FAC_3197,2025-11-19
FAC_5845,2025-12-07
FAC_8345,2026-01-25
FAC_4050,2026-01-28
FAC_8061,2026-01-17
FAC_1538,2026-02-10
FAC_3796,2025-10-14
FAC_8389,2026-02-01
FAC_9286,2025-08-18
FAC_7496,2026-02-16
FAC_5275,2026-04-01
FAC_6022,2026-03-29
FAC_7922,2024-05-11
FAC_3539,2025-05-10
FAC_2842,2026-01-10
FAC_4799,2026-03-21
FAC_9882,2025-11-04
FAC_1092,2025-10-02
FAC_3811,2025-01-31
FAC_5321,2025-06-04
FAC_4911,2025-02-14
FAC_5662,2024-07-20
FAC_2152,2026-04-10
FAC_4539,2026-03-10
FAC_7173,2026-01-29
FAC_1829,2025-03-24
FAC_7221,2026-04-22
FAC_7116,2026-01-04
FAC_4168,2026-03-17
FAC_4691,2026-02-12
FAC_6241,2026-04-26
FAC_ORPHAN_0,2024-04-27
FAC_ORPHAN_1,2022-09-11
FAC_ORPHAN_2,2023-01-24
FAC_ORPHAN_3,2023-09-15
FAC_ORPHAN_4,2022-10-20
